c,n_monolayer,BET_area,pp0_monolayer,pp0_min,pp0_max,pp0_mean,r2,monolayer_difference
11.120971238477038,0.2206173506176459,21522.63450379531,0.230690510766676,0.006349925394623178,0.00805573152535274,0.00746437266040156,0.9976816699087871,0.22322613810627442
32.52342463519092,0.05654561942986031,5516.387067347226,0.1491884617954305,0.06343184733383944,0.07770411769325411,0.07179083444586966,0.9984402797974562,0.07739762734956084
54.928604989841936,0.049764750069187576,4854.869863649691,0.11888650697735248,0.051322740242402035,0.07423653831051544,0.06299704196225231,0.9989675417552729,0.05588946501510017
91.5379282046936,0.045134715117443255,4403.180321883342,0.09462935300548334,0.03979385356404283,0.06343184733383944,0.05151614704676144,0.9997957484985613,0.0431132059587219
130.2104553797954,0.04262706619566245,4158.543120610524,0.080573817088778,0.02905067930158896,0.051322740242402035,0.04005575770267794,0.9998894892751381,0.040518059386100064
164.89953830466078,0.041020300521861994,4001.792845830978,0.07224743668926623,0.020274469254731555,0.03979385356404283,0.029706334040121116,0.9999616942878279,0.0425411026491451
167.23745817879427,0.04084657332489416,3984.8446459127053,0.07177703739690033,0.014632339467553206,0.02905067930158896,0.02131916267462457,0.9999512559422824,0.05045787472227575
195.32581486827544,0.023179032252208163,2261.262942009321,0.0667739447137283,0.0025127352687102436,0.003995955603256459,0.0032237725015924544,0.9962669391932514,0.06355017221213584
304.61820936020547,0.017832645478670386,1739.6886953753599,0.05419080487370672,0.0020051569330645797,0.0031626266328106598,0.0025601729448618275,0.9979381390297963,0.05163063192884489
477.39981435303434,0.014023512303767197,1368.0833757112343,0.04376467043714349,0.0015917384361665927,0.0025127352687102436,0.0020365435459804722,0.9973516134617934,0.04172812689116301
731.9742407061059,0.011395946799633985,1111.747544363813,0.03564424163857177,0.0012582694170309677,0.0020051569330645797,0.00161838826208738,0.9989309192593289,0.034025853376484394
1065.4836199221809,0.009655681570154718,941.9735335306417,0.029724972737760712,0.0009990576162927673,0.0015917384361665927,0.0012830218231634426,0.9987323315517715,0.02844195091459727
1354.5767163950472,0.008705911413697132,849.317376239203,0.02645182517769306,0.0007914125284678413,0.0012582694170309677,0.001016246520597192,0.9999948476126587,0.025435578657095868
1735.4435482668305,0.007862095120408077,766.9976964045786,0.023441901688267583,0.0006356391193947802,0.0009990576162927673,0.0008087030880517962,0.9980095337589394,0.022633198600215787
2578.656032538456,0.0067049825347771375,654.1139581557325,0.019312300934759417,0.0005011086097222586,0.0007914125284678413,0.0006427200858616268,0.9997764614866426,0.01866958084889779
3040.2667947191653,0.0062912884466266895,613.7554522144922,0.017813050984781354,0.00039918457631999164,0.0006356391193947802,0.0005119774351456768,0.9998660633453199,0.017301073549635674
3455.795588848428,0.005971096531385305,582.5186816544374,0.016726319622342705,0.0003129630114394911,0.0005011086097222586,0.00040441873249391375,0.999930786211672,0.016321900889848792
3475.924514515545,0.0063785893976301125,622.2722187109623,0.01667862754397712,2.517695871835816e-05,3.982736054029999e-05,3.223026447824228e-05,0.9992936348936672,0.01664639727949888
3623.18250693632,0.006150100062566889,599.9816217438005,0.016341771136571714,3.168647417606869e-05,5.030457317871261e-05,4.0606135965027096e-05,0.9999594657455684,0.016301165000606688
3772.3046893204405,0.005746384895671577,560.5966234360947,0.016020739656622224,0.00024663359597916284,0.00039918457631999164,0.00031959372791288184,0.9999428993971257,0.015701145928709342
3971.3863957342373,0.005628048971046971,549.0521966390469,0.015620378124725018,9.549841627182536e-05,0.0001543820842386325,0.00012393048175004146,0.9999821333870962,0.015496447642974975
4021.0768814392454,0.005572555868900628,543.6384893688173,0.015525066683956071,0.00019518991649433265,0.0003129630114394911,0.00025159550797099553,0.9999824471194831,0.015273471175985076
4077.399965051115,0.005529895611137032,539.4767081983289,0.015419125312288642,8.500654433130024e-05,0.0001219109447396665,0.0001008053017809307,0.9996037232065124,0.015318320010507711
4082.1162151994,0.005529696540263388,539.4572875605512,0.015410352840731759,0.0001219109447396665,0.00019518991649433265,0.00015716098182421055,0.9999910660583564,0.015253191858907549
4119.878345367075,0.005500853619099391,536.6434760063079,0.015340651794937866,0.0001543820842386325,0.00024663359597916284,0.00019873519890404266,0.9999998606892195,0.015141916596033823
4128.45614181983,0.0054766224322714335,534.279568651645,0.01532495103862004,6.926219208921232e-05,9.549841627182536e-05,8.325571756411264e-05,0.9992828556530554,0.015241695321055926
4359.322436788693,0.005253478539298391,512.5104537712097,0.014919769273877143,3.982736054029999e-05,6.926219208921232e-05,5.313137526940831e-05,0.9982676338330301,0.014866637898607734
4375.204432886997,0.005248777626316696,512.0518496240022,0.014893068928407204,5.030457317871261e-05,8.500654433130024e-05,6.819110319974172e-05,0.9989433921890234,0.014824877825207463
